classification_2019,classification_2020,classification_2021,es_espurio,temperature_2m,total_precipitation_sum
3,3,3,0,296.5841916276357,0.06632733421864027
3,3,3,0,295.6057913614195,0.07006339557311847
19,19,19,0,295.8951288910185,0.06024274679364675
3,3,3,0,295.94576055748684,0.06768913147193108
19,19,19,0,295.4231071212445,0.06892881867629204
19,19,19,0,295.8357693616565,0.06841514212232742
3,3,3,0,295.3987853107693,0.06679039028626595
19,19,19,0,296.29666682155806,0.05780488577824746
19,19,19,0,295.68733248173936,0.07122493984641547
3,3,3,0,296.2168276632887,0.06198758336247915
19,19,19,0,296.33010316331587,0.06015317343018367
4,4,4,0,296.37682542480496,0.060638473206181466
19,19,19,0,295.8654195606343,0.06978343628189876
3,3,3,0,295.8189378517891,0.066356479648172
15,15,15,0,295.9242201122676,0.06295475564740016
19,19,19,0,295.8554143392656,0.06860979102394893
3,3,3,0,296.6360375959931,0.06734384797356441
19,19,19,0,296.2713806556142,0.06352298907778575
4,4,19,0,296.3749566184916,0.059937989486673615
3,3,3,0,296.2240907206532,0.0590818358197005
19,19,19,0,295.4781212472132,0.06855139834028397
19,19,19,0,295.4098592536252,0.06991150555354271
3,3,3,0,295.99667871351886,0.0593606179191859
3,3,3,0,296.3854652092885,0.05512205463987504
19,19,19,0,296.1796819724588,0.0638878626360686
19,19,19,0,295.80633480992145,0.0690990582341146
3,3,3,0,296.5841916276357,0.06632733421864027
19,19,19,0,295.4445300932127,0.07175296249331946
19,19,19,0,296.0390995346296,0.06735998965642764
19,19,19,0,295.52996836848206,0.06147282274903768
3,3,3,0,295.77305893759325,0.069911546531736
19,19,19,0,296.5375795437439,0.05870804764173343
3,3,3,0,296.2479752636317,0.06222383878968074
19,15,15,0,295.98677998722025,0.06128423613649522
19,19,19,0,296.33010316331587,0.06015317343018367
19,19,19,0,295.8951288910185,0.06024274679364675
19,19,19,0,296.12700256304555,0.06485491571170006
19,19,19,0,295.4445300932127,0.07175296249331946
4,4,4,0,296.2910396180262,0.05908161106051916
3,3,3,0,295.81044760130095,0.06527525015018298
4,4,4,0,296.2521072277901,0.06019686736009433
19,3,3,0,295.5989408185307,0.06388573301178131
3,3,3,0,295.77221229400425,0.06494706325075938
3,3,3,0,296.03609287388434,0.060122015102127335
15,15,15,0,295.66587285196533,0.06641133206429
4,3,3,0,295.40598436256465,0.06795005328796222
19,19,19,0,295.51788797619184,0.06493367828271701
19,19,19,0,296.12444561067935,0.06359560491981024
3,3,3,0,296.6837673164998,0.05699489094159915
3,3,3,0,296.31698011916666,0.059519936167616784
19,19,19,0,295.7899147898591,0.07045362842422638
19,19,19,0,295.39856318258035,0.0713594290350071
19,19,19,0,296.44570104462633,0.058776045365551255
3,3,3,0,295.8189378517891,0.066356479648172
3,3,3,0,296.340564208146,0.06292389410080428
3,3,3,0,296.6520503971774,0.06511758220535431
19,19,19,0,295.89504993079254,0.06902914943637366
19,19,19,0,296.09744774869256,0.058971588336844384
3,3,3,0,296.4010254430746,0.061678802741983674
19,19,4,0,295.9527129335093,0.062400120768367394
11,4,19,0,295.4445300932127,0.07175296249331946
3,3,3,0,296.4053462470844,0.06750589561802063
3,3,3,0,295.89996309063713,0.06817042407733116
3,3,19,0,296.25610364828805,0.06488824836752727
19,19,19,0,295.7753985758358,0.07040753416560008
19,19,19,0,295.6183473949266,0.07247826782208595
3,3,3,0,295.5884875767861,0.06801863339883003
3,3,3,0,296.4820032410631,0.05026818143667692
3,3,3,0,295.91374419525715,0.06715551964781596
4,4,4,0,295.99212301857796,0.06790216219764862
3,3,3,0,296.25943989183634,0.06192827549916421
3,3,3,0,295.4916598710486,0.06663253731868579
3,3,3,0,296.3108327511661,0.05950556027235502
19,19,19,0,296.10212968881814,0.06275127532424445
19,19,19,0,296.3180227604646,0.060508124056874855
4,4,3,0,295.39856318258035,0.0713594290350071
19,19,19,0,296.29666682155806,0.05780488577824746
19,19,19,0,295.52996836848206,0.06147282274903768
19,19,19,0,295.5684527813408,0.06892625816009357
3,3,3,0,295.5252683941564,0.06948257811210468
19,19,19,0,295.4445300932127,0.07175296249331946
19,19,19,0,296.3654169935519,0.059343949728627145
15,4,4,0,296.3624606857418,0.060297138515531166
19,19,19,0,296.3749566184916,0.059937989486673615
25,25,25,0,295.7456560016214,0.0724591247970056
15,15,15,0,296.10764019206505,0.05901909199696694
3,3,3,0,296.49945691750935,0.06472817636869266
19,19,19,0,295.49569428129826,0.06548917370380873
3,3,3,0,296.2216660179147,0.06275358003717575
19,19,19,0,295.82051239135274,0.06284780132116789
19,19,19,0,295.92508291622977,0.06568019044738922
15,15,15,0,295.7899147898591,0.07045362842422638
19,19,19,0,296.0473957183153,0.06583212765397543
19,19,19,0,296.33686402956016,0.05722384852510606
3,3,3,0,295.48789743071944,0.06504611747803206
3,3,3,0,296.3695167762684,0.05856913777532095
19,19,19,0,295.4012026798846,0.07052072959484572
3,3,3,0,296.20502081124215,0.06516540624044254
3,3,3,0,295.87309897945187,0.06458404737057204
3,3,3,0,296.2860594346753,0.05992857691985284
3,3,3,0,296.2234977799392,0.0640605062478971
19,19,19,0,295.39856318258035,0.0713594290350071
15,15,15,0,295.8395876398626,0.06165585867903545
19,15,15,0,296.2168276632887,0.06198758336247915
3,3,3,0,295.89200453373206,0.06779885989767227
3,3,3,0,296.2860594346753,0.05992857691985284
19,19,19,0,296.33686402956016,0.05722384852510606
19,19,19,0,295.6161575612428,0.06770514897845104
3,3,3,0,296.2216660179147,0.06275358003717575
3,3,3,0,295.99212301857796,0.06790216219764862
19,19,19,0,295.58659581332824,0.06568425101381455
19,15,15,0,296.32752908147694,0.06452745896917496
3,3,3,0,295.3987853107693,0.06679039028626595
15,15,15,0,295.9649225665421,0.06527516819379642
19,19,19,0,295.6872735904703,0.06407714587789688
19,19,19,0,296.0716358164129,0.06359066891016478
4,4,4,0,296.42856470723973,0.06382974686564917
3,3,3,0,296.2216660179147,0.06275358003717575
19,19,19,0,296.5409058848265,0.05943567879340961
19,19,19,0,296.25803700783484,0.05785682874264234
19,19,19,0,295.9180068666313,0.06065890642346853
3,3,3,0,295.73642362116567,0.06169310785672977
15,15,15,0,295.81724968871794,0.07028098977945163
3,3,3,0,295.6464103589879,0.07121935066920433
19,19,19,0,295.38211442799224,0.07095985315583064
3,3,3,0,295.9028054676642,0.06568623286825333
4,4,4,0,295.49569428129826,0.06548917370380873
19,19,19,0,295.6972075043299,0.06474013206702385
19,19,19,0,296.2383239181798,0.06480208116116042
3,3,3,0,296.3732706128861,0.055703836951076134
3,3,3,0,295.88065374025535,0.06264606691739871
3,3,3,0,296.3343465060105,0.0643799647921514
3,3,3,0,296.5333447396345,0.059385589781819924
19,19,19,0,295.5206579752749,0.06658388875267818
4,4,15,0,296.2860594346753,0.05992857691985284
19,19,19,0,296.31698011916666,0.059519936167616784
3,3,3,0,295.8154357436384,0.062290716442882164
4,4,4,0,296.3749566184916,0.059937989486673615
3,3,3,0,296.6165030718252,0.0685778118902635
3,3,3,0,295.7296802987884,0.07209816279353613
19,19,19,0,295.4161939024695,0.07072840707840437
19,19,19,0,295.52623158464405,0.07207923211000278
3,3,3,0,296.5841916276357,0.06632733421864027
19,19,19,0,296.098189145675,0.06038353793165996
19,19,19,0,295.7753985758358,0.07040753416560008
3,3,3,0,295.8357693616565,0.06841514212232742
3,3,3,0,296.59068830843756,0.060124181979317605
11,3,3,0,295.7456560016214,0.0724591247970056
4,4,4,0,296.3896595961201,0.05930968202493503
3,3,3,0,296.5409058848265,0.05943567879340961
19,19,19,0,295.39852432808215,0.07155854331793303
3,3,3,0,296.5333447396345,0.059385589781819924
3,3,3,0,296.340564208146,0.06292389410080428
3,3,3,0,295.77305893759325,0.069911546531736
3,3,3,0,296.25383339771184,0.061302285167991265
15,15,15,0,295.8483912951787,0.06222365128340238
15,15,15,0,295.9242201122676,0.06295475564740016
19,19,19,0,296.20502081124215,0.06516540624044254
3,4,4,0,296.2089079214037,0.06014014857353681
19,19,19,0,295.5252683941564,0.06948257811210468
19,19,19,0,295.90584519245084,0.06840588974298949
3,3,3,0,296.0564993516303,0.05964094477238172
19,19,19,0,295.6849939305275,0.07338055424235179
